index,duration,content,startOfParagraph,startTime,ID
279,1670,When my first children's book was published,True,900,2062
280,1723,"in 2001,",False,2570,2062
281,2213,I returned to my old elementary school,False,4293,2062
282,1940,to talk to the students about being an author,False,6506,2062
283,1716,"and an illustrator,",False,8446,2062
284,2733,and when I was setting up my slide projector,False,10162,2062
285,3205,"in the cafetorium,",False,12895,2062
286,2048,"I looked across the room,",False,16100,2062
287,2611,and there she was.,False,18148,2062
288,1844,my old lunch lady.,False,20759,2062
289,1967,She was still there at the school,False,22603,2062
290,2886,and she was busily preparing lunches for the day.,False,24570,2062
291,1644,"So I approached her to say hello,",False,27456,2062
292,1887,"and I said, Hi, Jeannie. How are you.",False,29100,2062
293,1570,"And she looked at me, and I could tell",False,30987,2062
294,1727,"that she recognized me,",False,32557,2062
295,3085,"but she couldn't quite place me, and she looked at me and she said,",False,34284,2062
296,2761,Stephen Krosoczka.,False,37369,2062
297,2142,"And I was amazed that she knew I was a Krosoczka,",False,40130,2062
298,3431,"but Stephen is my uncle who is 20 years older than I am,",False,42272,2062
299,3137,and she had been his lunch lady when he was a kid.,False,45703,2062
300,2505,"And she started telling me about her grandkids,",False,48840,2062
301,2705,and that blew my mind.,False,51345,2062
302,1794,"My lunch lady had grandkids,",False,54050,2062
303,964,"and therefore kids,",False,55844,2062
304,3255,and therefore left school at the end of the day.,False,56808,2062
305,1743,I thought she lived in the cafeteria,False,60063,2062
306,873,with the serving spoons.,False,61806,2062
307,1943,I had never thought about any of that before.,False,62679,2062
308,3732,"Well, that chance encounter inspired my imagination,",True,64622,2062
309,3551,"and I created the Lunch Lady graphic novel series,",False,68354,2062
310,2177,a series of comics about a lunch lady,False,71905,2062
311,2598,who uses her fish stick nunchucks,False,74082,2062
312,2902,"to fight off evil cyborg substitutes,",False,76680,2062
313,3307,"a school bus monster, and mutant mathletes,",False,79582,2062
314,1467,"and the end of every book,",False,82889,2062
315,1506,"they get the bad guy with their hairnet,",False,84356,2062
316,3754,"and they proclaim, Justice is served.",False,85862,2062
318,2607,"And it's been amazing, because the series",True,93869,2062
319,2893,"was so welcomed into the reading lives of children,",False,96476,2062
320,2239,and they sent me the most amazing letters,False,99369,2062
321,2157,and cards and artwork.,False,101608,2062
322,2474,"And I would notice as I would visit schools,",False,103765,2062
323,2554,the lunch staff would be involved in the programming,False,106239,2062
324,2146,in a very meaningful way.,False,108793,2062
325,1746,"And coast to coast,",False,110939,2062
326,2095,all of the lunch ladies told me the same thing.,False,112685,2062
327,3895,Thank you for making a superhero in our likeness.,False,114780,2062
328,2769,Because the lunch lady has not been treated,False,118675,2062
329,3522,very kindly in popular culture over time.,False,121444,2062
330,2172,But it meant the most to Jeannie.,False,124966,2062
331,1690,"When the books were first published,",False,127138,2062
332,2104,"I invited her to the book launch party,",False,128828,2062
333,1811,"and in front of everyone there,",False,130932,2062
334,1297,"everyone she had fed over the years,",False,132743,2062
335,2940,I gave her a piece of artwork and some books.,False,134040,2062
336,2569,"And two years after this photo was taken,",False,136980,2062
337,1811,"she passed away,",False,139549,2062
338,1087,"and I attended her wake,",False,141360,2062
339,2839,"and nothing could have prepared me for what I saw there,",False,142447,2062
340,3488,"because next to her casket was this painting,",False,145286,2062
341,3566,and her husband told me it meant so much to her,False,148774,2062
342,2418,"that I had acknowledged her hard work,",False,152340,2062
343,2866,I had validated what she did.,False,154758,2062
344,1892,And that inspired me to create a day,True,157624,2062
345,2250,where we could recreate that feeling,False,159516,2062
346,3015,in cafeterias across the country.,False,161766,2062
347,1653,"School Lunch Hero Day, a day where kids",False,164781,2062
348,2858,can make creative projects for their lunch staff.,False,166434,2062
349,2204,"And I partnered with the School Nutrition Association,",False,169292,2062
350,3128,and did you know that a little over 30 million kids,False,171496,2062
351,1822,participate in school lunch programs every day.,False,174624,2062
352,3352,That equals up to a little over five billion lunches,False,176446,2062
353,1507,made every school year.,False,179798,2062
354,2386,And the stories of heroism go well beyond,True,181305,2062
355,1987,just a kid getting a few extra chicken nuggets,False,183691,2062
356,1165,on their lunch tray.,False,185678,2062
357,1709,"There is Ms. Brenda in California,",False,186843,2062
358,2789,who keeps a close eye on every student that comes through her line,False,188552,2062
359,2485,and then reports back to the guidance counselor,False,191341,2062
360,1350,if anything is amiss.,False,193826,2062
361,1424,There are the lunch ladies in Kentucky,False,195176,2062
362,2635,who realized that 67 percent of their students,False,196600,2062
