level_0,index,duration,content,startOfParagraph,startTime,ID
271,279,1670,وقتی نخستین کتابم برای کودکان در سال ۲۰۰۱,True,900,2062
272,280,1723,منتشر شد،,False,2570,2062
273,281,2213,به دبستان قدیمی ام برگشتم,False,4293,2062
274,282,1940,تا برای دانش آموزان درباره نویسندگی و,False,6506,2062
275,283,1716,تصویرگی صحبت کنم.,False,8446,2062
276,284,2733,و در سالن کافه تریا مشغول راه اندازی,False,10162,2062
277,285,3205,اسلایدها بودم،,False,12895,2062
278,286,2048,نگاهم به آنطرف اتاق افتاد،,False,16100,2062
279,287,2611,و او آنجا بود.,False,18148,2062
280,288,1844,بانوی سالخورده ناهار.,False,20759,2062
281,289,1967,هنوز هم توی همان مدرسه بود,False,22603,2062
282,290,2886,و مشغول آماده کردن ناهار برای آن روز.,False,24570,2062
283,291,1644,بنابراین نزد او رفتم تا بهش سلام بدم.,False,27456,2062
284,292,1887,و گفتم، سلام جنی، حالت چطوره.,False,29100,2062
285,293,1570,و بهم نگاهی اندخت و می توانم بگویم,False,30987,2062
286,294,1727,که من را شناخته بود،,False,32557,2062
287,295,3085,اما نمی توانست بطور کامل بخاطرم بیاورد، و نگاهم کرد و گفت،,False,34284,2062
288,296,2761, استفن کورسوزکا.,False,37369,2062
289,297,2142,و حیرت زده بودم که می دانست یک کورسوزکا هستم،,False,40130,2062
290,298,3431,اما استفن عمویم بود که ۲۰ سالی از من بزرگتر بود،,False,42272,2062
291,299,3137,و این خانم بانوی ناهار او در کودکی اش بوده.,False,45703,2062
292,300,2505,و شروع کرد به گفتن از نوه هایش برایم،,False,48840,2062
293,301,2705,و شگفت انگیز بود واقعا.,False,51345,2062
294,302,1794,بانوی ناهار من نوه داشت،,False,54050,2062
295,303,964,و درنتیجه بچه،,False,55844,2062
296,304,3255,و برای همین در انتهای هر روز مدرسه را ترک می کرده.,False,56808,2062
297,305,1743,فکر می کردم که در کافه تریا زندگی می کند,False,60063,2062
298,306,873,همراه با ملاقه هاش.,False,61806,2062
299,307,1943,تا پیش از آن بهش فکر نکرده بودم.,False,62679,2062
300,308,3732,خب، آن برخورد اتفاقی، جرقه ای در قوه تخیلم زد,True,64622,2062
301,309,3551,و مجموعه کتابهای مصور بانوی ناهار را خلق کردم.,False,68354,2062
302,310,2177,مجموعه کارتونی درباره بانوی ناهاری که,False,71905,2062
303,311,2598,از لانچیکوهای فیله ماهی سرخ شده اش برای مبارزه با,False,74082,2062
304,312,2069,بدلهای خبیث سایبورگی  استفاده می کند،,False,76680,2062
305,313,2071,هیولای اتوبوس مدرسه، و نابغه های ریاضی جهش یافته،,False,80818,2062
306,314,1467,و در آخر هر کتاب،,False,82889,2062
307,315,1506,آنها با استفاده از تور موهایشان آدم بده را به دام مینداختند,False,84356,2062
308,316,3754,و با صدا بلند می گفتند،  عدالت اجرا شد.,False,85862,2062
309,318,2607,و استقبالی که از این مجموعه از طرف بچه های,True,93869,2062
310,319,2893,کتابخوان شد،شگفت آور بود،,False,96476,2062
311,320,2239,و من فوق العاده ترین نامه ها، کارتها و کارهای هنری,False,99369,2062
312,321,2157,را از بچه ها دریافت کردم.,False,101608,2062
313,322,2474,و در بازدیدهایم از مدارس متوجه شدم که,False,103765,2062
314,323,2554,خدمه ناهار در برنامه ریزی های ناهار,False,106239,2062
315,324,2146,به شیوه ای معنادارتر مشارکت می کردند.,False,108793,2062
316,325,1746,و هر جایی که رفتم،,False,110939,2062
317,326,2095,تمامی این بانوان ناهار همان صحبت را برایم تکرار کردند.,False,112685,2062
318,327,3895,متشکرم برای قهرمان سازی در قشر کاری ما.,False,114780,2062
319,328,2769,چون بانوی ناهار در فرهنگ عامه,False,118675,2062
320,329,3522,انقدر تا بحال با مهربانی مورد توجه قرار نگرفته بود.,False,121444,2062
